Team,Score_def,Home Score_def,Away Score_def,FG%_def,FT%_def,3PT_def,3PT%_def,Defensive Rebounds_def,Assists_def,Steals_def
UTA,97.45,96.02,98.85,44.69,76.73,8.27,35.72,33.69,18.3,6.77
SAS,99.43,98.8,100.06,44.65,77.82,8.89,35.16,33.48,21.59,7.98
MEM,100.31,97.43,103.18,44.55,75.76,9.91,35.69,31.68,19.81,7.8
DAL,100.84,97.88,103.8,46.9,77.23,9.61,38.01,30.71,21.26,7.5
MIA,102.11,102.51,101.71,45.02,78.25,7.79,34.3,33.01,19.65,7.15
DET,102.45,98.93,105.98,46.04,77.98,9.35,36.56,34.65,23.52,7.01
CHI,102.5,100.93,104.07,45.61,76.91,9.17,34.4,34.07,23.9,7.84
TOR,102.62,103.15,102.09,45.05,77.71,9.88,36.33,32.6,21.8,8.18
MIL,103.12,102.3,103.95,45.69,77.31,9.85,35.36,31.49,23.66,8.12
LAC,103.94,100.42,107.55,45.37,76.83,9.22,35.25,33.69,22.83,7.4
ATL,104.19,105.75,102.64,44.49,77.54,10.72,35.44,34.02,23.25,8.02
GSW,104.52,102.82,106.24,43.43,76.22,9.2,32.72,35.27,22.26,9.43
CHO,104.7,103.37,106.02,45.67,77.61,11.59,36.85,34.84,24.54,6.95
League Average,105.62,107.16,104.08,45.74,77.21,9.71,35.78,33.29,22.6,7.7
IND,105.66,102.19,109.14,45.22,78.52,10.5,35.76,32.83,22.22,8.16
BOS,105.87,106.96,104.73,45.45,77.38,9.11,33.63,32.09,22.57,7.57
OKC,106.24,104.02,108.41,45.92,76.66,8.87,34.98,34.24,21.16,7.91
NOP,106.44,107.07,105.8,45.03,76.19,10.52,35.33,35.09,23.44,7.79
MIN,106.68,103.68,109.68,47.54,76.82,9.89,36.65,30.98,23.12,7.98
SAC,106.68,106.9,106.46,46.18,77.77,10.93,36.44,32.38,23.67,7.63
CLE,107.36,105.27,109.37,45.76,77.84,10.52,36.16,34.13,24.79,6.76
WAS,107.47,104.55,110.33,46.52,75.41,10.04,36.44,32.46,23.11,8.4
ORL,107.65,103.8,111.49,46.64,76.61,9.68,36.71,33.37,23.6,7.06
NYK,108.01,106.46,109.56,45.54,77.11,9.83,34.85,33.17,21.78,7.13
PHI,108.13,105.95,110.32,46.07,77.28,8.89,35.67,33,22.67,8.45
POR,108.98,107.65,110.3,45.6,78.53,9.44,37.21,33.52,20.9,7.01
HOU,109.22,107.66,110.8,46.27,76.8,9.81,34.07,33.44,23.94,8.11
DEN,111.21,110.71,111.71,47.67,78.21,9.85,37.56,34.5,24.05,6.96
LAL,111.46,109.15,113.78,48.27,76.25,10.13,36.97,32.13,25.73,8.24
BRK,112.5,109.93,115.07,45.85,77.16,9.95,36.61,35.11,23.02,7.26
PHO,113.33,111.93,114.73,46.68,78.26,10.06,38.16,33.05,22.17,8.22
