Team,Score_off,Home Score_off,Away Score_off,FG%_off,FT%_off,3PT_off,3PT%_off,Offensive Rebounds_off,Assists_off,Turnovers_off
GSW,116.47,118.94,113.96,49.44,79.27,12.1,38.39,9.41,30.01,14.3
HOU,114.44,115.64,113.22,45.96,76.84,14.22,35.45,10.76,24.57,14.33
DEN,111.72,113.88,109.56,46.94,77.39,10.61,36.83,11.84,25.33,14.45
CLE,111.4,113.45,109.43,47.43,75.18,13.23,39.04,9.38,22.55,13.12
WAS,109.03,110.26,107.83,47.25,78.56,9.11,36.42,10.38,23.71,13.37
LAC,107.81,108.27,107.34,47.51,74.17,10.09,37.29,8.96,22.21,12.44
PHO,107.7,109.68,105.71,45.05,77.63,7.5,33.19,11.91,19.55,14.94
POR,107.64,109.84,105.44,45.63,78.11,10.42,37.21,10.13,20.88,13.2
BOS,107.51,109.39,105.55,45.46,80.17,12.14,36.1,9.13,25.54,12.72
OKC,106.46,109.65,103.34,45.12,74.2,8.44,32.59,12.25,20.93,14.53
BRK,105.77,104.39,107.15,44.39,78.81,10.7,33.85,8.79,21.41,15.93
TOR,105.75,109.78,101.72,46.21,79.8,8.73,36.01,10.22,18.62,11.86
League Average,105.62,107.16,104.08,45.74,77.21,9.71,35.78,10.13,22.6,13.34
SAS,105.61,106.27,104.96,46.83,79.31,9.08,38.41,10.47,23.42,12.71
MIN,105.57,106.59,104.56,46.74,79.86,7.33,34.88,11.49,23.66,13.45
IND,105.28,106.95,103.6,46.48,80.81,8.78,37.71,9.21,22.49,13.19
CHO,104.89,106.59,103.2,44.18,81.46,10.05,35.14,8.8,23.06,10.95
LAL,104.57,107.56,101.59,45,75.39,8.9,34.65,11.39,20.93,14.55
NOP,104.34,107.63,101.05,45.02,74.96,9.37,34.97,8.67,22.79,12.34
NYK,104.34,104.88,103.8,44.75,78.8,8.59,34.89,11.96,21.78,13.21
ATL,103.32,106.11,100.52,45.08,73.07,8.85,33.85,10.38,23.55,15.25
MIA,103.17,106.46,99.88,45.52,70.59,9.85,36.51,10.66,21.24,12.62
MIL,102.91,104.93,100.89,47.21,76.37,8.8,37.25,8.78,23.99,13.35
SAC,102.8,105.05,100.56,46.12,77.52,8.99,37.6,8.71,22.49,14.13
PHI,102.44,102.39,102.49,44.19,77.13,10.13,34,9.84,23.77,16.02
CHI,102.43,102.68,102.18,44.37,80.07,7.56,33.74,12.17,22.4,13.01
DET,101.33,102.98,99.68,44.9,71.88,7.7,32.95,11.1,21.12,11.37
ORL,101.07,100.22,101.93,44.01,74.67,8.55,32.77,9.87,22.2,12.88
UTA,100.37,100.78,99.96,46.45,74.53,9.62,37.08,9.1,20.09,12.71
MEM,100.19,99.55,100.84,43.64,78.92,9.35,35.57,10.59,21.1,12.33
DAL,97.91,99.37,96.46,43.99,80.15,10.71,35.5,7.96,20.79,11.24
